time,value
2024-09-02T14:59:02.930100398Z,{"lat":-37.86758424953482,"lon":145.21479693379038}
2024-09-02T14:59:02.931855918Z,{"lat":-37.86758242000331,"lon":145.21479227679168}
2024-09-02T14:59:02.933998589Z,{"lat":-37.86758058112469,"lon":145.21478759761916}
2024-09-02T14:59:03.309764785Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:04.340393799Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:05.341049008Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:06.341095897Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:07.359135656Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:08.381187183Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:09.357259175Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:10.358002677Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:11.362154602Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:12.412589626Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:13.406084594Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:14.396071305Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:15.403095358Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:16.402032385Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:17.409851845Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:18.421083091Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:19.487103539Z,{"lat":-37.867579664729234,"lon":145.21478526422055}
2024-09-02T14:59:20.453323294Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:21.464613518Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:22.481794206Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:23.503556164Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:24.510572266Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:25.55563878Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:26.615608463Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:27.543929023Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:28.591499243Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:29.563193431Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:30.589723049Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:31.593462135Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:32.60947999Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:33.645538247Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:34.674296368Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:35.673615315Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:36.674663515Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:37.720776797Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:38.778522291Z,{"lat":-37.86759070927066,"lon":145.21486322746122}
2024-09-02T14:59:39.693916098Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:40.704952459Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
